_id,id,name_en,name_fa,flag,fifa_code,iso2,groups,__v
698715d47f2bf926c1b297bc,1,Mexico,مکزیک,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/125px-Flag_of_Mexico.svg.png,MEX,MX,A,0
698715d47f2bf926c1b297be,2,South Africa,آفریقای جنوبی,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/125px-Flag_of_South_Africa.svg.png,RSA,ZA,A,0
698715d47f2bf926c1b297c0,3,South Korea,کره جنوبی,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/125px-Flag_of_South_Korea.svg.png,KOR,KR,A,0
698715d47f2bf926c1b297c2,4,UEFA Path D Winner,برنده مسیر D یوفا,,TBD,TBD,A,0
698715d47f2bf926c1b297c4,5,Canada,کانادا,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/125px-Flag_of_Canada_%28Pantone%29.svg.png,CAN,CA,B,0
698715d47f2bf926c1b297c6,6,UEFA Path A Winner,برنده مسیر A یوفا,,TBD,TBD,B,0
698715d47f2bf926c1b297c8,7,Qatar,قطر,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/125px-Flag_of_Qatar.svg.png,QAT,QA,B,0
698715d47f2bf926c1b297ca,8,Switzerland,سوئیس,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/100px-Flag_of_Switzerland.svg.png,SUI,CH,B,0
698715d47f2bf926c1b297cc,9,Brazil,برزیل,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/125px-Flag_of_Brazil.svg.png,BRA,BR,C,0
698715d47f2bf926c1b297ce,10,Morocco,مراکش,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/125px-Flag_of_Morocco.svg.png,MAR,MA,C,0
698715d47f2bf926c1b297d0,11,Haiti,هائیتی,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/125px-Flag_of_Haiti.svg.png,HAI,HT,C,0
698715d47f2bf926c1b297d2,12,Scotland,اسکاتلند,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/125px-Flag_of_Scotland.svg.png,SCO,SCO,C,0
698715d47f2bf926c1b297d4,13,United States,آمریکا,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,USA,US,D,0
698715d47f2bf926c1b297d6,14,Paraguay,پاراگوئه,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/125px-Flag_of_Paraguay.svg.png,PAR,PY,D,0
698715d47f2bf926c1b297d8,15,Australia,استرالیا,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png,AUS,AU,D,0
698715d47f2bf926c1b297da,16,UEFA Path C Winner,برنده مسیر C یوفا,,TBD,TBD,D,0
698715d47f2bf926c1b297dc,17,Germany,آلمان,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,GER,DE,E,0
698715d47f2bf926c1b297de,18,Curaçao,کوراسائو,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Cura%C3%A7ao.svg/125px-Flag_of_Cura%C3%A7ao.svg.png,CUW,CW,E,0
698715d47f2bf926c1b297e0,19,Ivory Coast,ساحل عاج,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/125px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,CIV,CI,E,0
698715d47f2bf926c1b297e2,20,Ecuador,اکوادور,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/125px-Flag_of_Ecuador.svg.png,ECU,EC,E,0
698715d47f2bf926c1b297e4,21,Netherlands,هلند,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/125px-Flag_of_the_Netherlands.svg.png,NED,NL,F,0
698715d47f2bf926c1b297e6,22,Japan,ژاپن,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png,JPN,JP,F,0
698715d47f2bf926c1b297e8,23,UEFA Path B Winner,برنده مسیر B یوفا,,TBD,TBD,F,0
698715d47f2bf926c1b297ea,24,Tunisia,تونس,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/125px-Flag_of_Tunisia.svg.png,TUN,TN,F,0
698715d47f2bf926c1b297ec,25,Belgium,بلژیک,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png,BEL,BE,G,0
698715d47f2bf926c1b297ee,26,Egypt,مصر,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/125px-Flag_of_Egypt.svg.png,EGY,EG,G,0
698715d47f2bf926c1b297f0,27,Iran,ایران,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,IRN,IR,G,0
698715d47f2bf926c1b297f2,28,New Zealand,نیوزیلند,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/125px-Flag_of_New_Zealand.svg.png,NZL,NZ,G,0
698715d47f2bf926c1b297f4,29,Spain,اسپانیا,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png,ESP,ES,H,0
698715d47f2bf926c1b297f6,30,Cape Verde,کیپ ورد,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/125px-Flag_of_Cape_Verde.svg.png,CPV,CV,H,0
698715d47f2bf926c1b297f8,31,Saudi Arabia,عربستان,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/125px-Flag_of_Saudi_Arabia.svg.png,KSA,SA,H,0
698715d47f2bf926c1b297fa,32,Uruguay,اروگوئه,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/125px-Flag_of_Uruguay.svg.png,URU,UY,H,0
698715d47f2bf926c1b297fc,33,France,فرانسه,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,FRA,FR,I,0
698715d47f2bf926c1b297fe,34,Senegal,سنگال,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/125px-Flag_of_Senegal.svg.png,SEN,SN,I,0
698715d47f2bf926c1b29800,35,IC Path 2 Winner,برنده مسیر 2 بین‌قاره‌ای,,TBD,TBD,I,0
698715d47f2bf926c1b29802,36,Norway,نروژ,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/125px-Flag_of_Norway.svg.png,NOR,NO,I,0
698715d47f2bf926c1b29804,37,Argentina,آرژانتین,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,ARG,AR,J,0
698715d47f2bf926c1b29806,38,Algeria,الجزایر,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/125px-Flag_of_Algeria.svg.png,ALG,DZ,J,0
698715d47f2bf926c1b29808,39,Austria,اتریش,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/125px-Flag_of_Austria.svg.png,AUT,AT,J,0
698715d47f2bf926c1b2980a,40,Jordan,اردن,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/125px-Flag_of_Jordan.svg.png,JOR,JO,J,0
698715d47f2bf926c1b2980c,41,Portugal,پرتغال,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/125px-Flag_of_Portugal.svg.png,POR,PT,K,0
698715d47f2bf926c1b2980e,42,IC Path 1 Winner,برنده مسیر 1 بین‌قاره‌ای,,TBD,TBD,K,0
698715d47f2bf926c1b29810,43,Uzbekistan,ازبکستان,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/125px-Flag_of_Uzbekistan.svg.png,UZB,UZ,K,0
698715d47f2bf926c1b29812,44,Colombia,کلمبیا,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/125px-Flag_of_Colombia.svg.png,COL,CO,K,0
698715d47f2bf926c1b29814,45,England,انگلستان,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/125px-Flag_of_England.svg.png,ENG,ENG,L,0
698715d47f2bf926c1b29816,46,Croatia,کرواسی,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/125px-Flag_of_Croatia.svg.png,CRO,HR,L,0
698715d47f2bf926c1b29818,47,Ghana,غنا,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/125px-Flag_of_Ghana.svg.png,GHA,GH,L,0
698715d47f2bf926c1b2981a,48,Panama,پاناما,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/125px-Flag_of_Panama.svg.png,PAN,PA,L,0
